タイトル,フリガナ,著者,カテゴリ,タイプ,読了巻/P,全巻/P,ステータス,形態,評価,読了日,メモ,完結済み,次巻発売日,発売日
ゴールデンカムイ カラー版,ごーるでんかむい からーばん,,manga,series,0,10,reading,,,,,false,,
ゴールデンドロップ [津覇圭一×上月亮×草下シンヤ×神里純平],ごーるでんどろっぷ,,manga,series,0,10,reading,,,,,false,,
こちら葛飾区亀有公園前派出所,こちらかつしかくかめありこうえんまえはしゅつじょ,,manga,series,0,200,reading,,,,,false,,
こんな人生は絶対嫌だ,こんなじんせいはぜったいいやだ,,manga,series,0,10,reading,,,,,false,,
ザ・ファブル,ざ ふぁぶる,,manga,series,0,22,reading,,,,,false,,
ザ・ファブル The second contact,ざ ふぁぶる the second contact,,manga,series,0,9,reading,,,,,false,,
ザ・ファブル The third secret,ざ ふぁぶる the third secret,,manga,series,0,3,reading,,,,,false,,
最後のレストラン [藤栄道彦],さいごのれすとらん,,manga,series,0,20,reading,,,,,false,,
サエイズム [内水融],さえいずむ,,manga,series,0,13,reading,,,,,false,,
魁!!男塾 全34巻[宮下あきら],さきがけおとこじゅく,,manga,series,0,34,reading,,,,,false,,
サターンリターン[鳥飼茜],さたーんりたーん,,manga,series,0,8,reading,,,,,false,,
サツドウ [雪永ちっち×なだいにし],さつどう,,manga,series,0,3,reading,,,,,false,,
さよならブラック企業 働く人の最後の砦「退職代行」,さよならぶらっくきぎょう,,manga,series,0,5,reading,,,,,false,,
さるまね [吉田薫],さるまね,,manga,series,0,11,reading,,,,,false,,
シガテラ [古谷実] 全6巻,しがてら,,manga,series,0,6,reading,,,,,false,,
シティーハンター［北条司］全35巻,してぃーはんたー,,manga,series,0,35,reading,,,,,false,,
シティーハンター [北条司] 電子版,してぃーはんたー でんしばん,,manga,series,0,32,reading,,,,,false,,
ジパング［かわぐちかいじ］,じぱんぐ,,manga,series,0,43,reading,,,,,false,,
シマウマ［小幡文生］,しまうま,,manga,series,0,23,reading,,,,,false,,
島耕作［弘兼憲史］,しまこうさく,,manga,series,0,1,reading,,,,,false,,
軍鶏 [たなか亜希夫] 全34巻,しゃも,,manga,series,0,34,reading,,,,,false,,
柔道部物語 01-11 [小林まこと],じゅうどうぶものがたり,,manga,series,0,11,reading,,,,,false,,
粛正の解毒師 [栗原正尚],しゅくせいのげどくし,,manga,series,0,7,reading,,,,,false,,
修羅の刻［川原正敏］,しゅらのとき,,manga,series,0,22,reading,,,,,false,,
修羅の門,しゅらのもん,,manga,series,0,31,reading,,,,,false,,
修羅の門 第弐門,しゅらのもん だいにもん,,manga,series,0,18,reading,,,,,false,,
純猥談,じゅんわいだん,,manga,series,0,4,reading,,,,,false,,
嬢王［倉科遼］全12巻,じょうおう,,manga,series,0,12,reading,,,,,false,,
上京生活録イチジョウ,じょうきょうせいかつろくいちじょう,,manga,series,0,4,reading,,,,,false,,
湘南純愛組［藤沢とおる］全31,しょうなんじゅんあいぐみ,,manga,series,0,31,reading,,,,,false,,
少年院ウシジマくん,しょうねんいんうしじまくん,,manga,series,0,7,reading,,,,,false,,
食戟のソーマ カラー版,しょくげきのそーま からーばん,,manga,series,0,30,reading,,,,,false,,
女神の標的 [小山ゆう],じょしんのひょうてき,,manga,series,0,4,reading,,,,,false,,
